id,text,
283,Is it possible to change my PIN?,
284,Can I change the amount I made on a payment that I made to the payment is correct.,
285,Is there a way to undo a transaction?,
286,"My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?",
287,A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,
288,I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money!,
289,How can I change my PIN?  Help.,
290,My card has been lost / stolen,
291,"If I am in China, can I still order a new card and if so, how?",
292,The contactless I have won't work.,
293,"Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged?",
294,"always exchanging currencies, do you offer a discount?",
295,The account transfer I was trying to do failed.,
296,"My card will expire soon, do I need to order a new one?",
297,Please provide me a list of ATMs that accept my card.,
298,what is required documents for new card process ?,
299,What does a pending cash withdrawal mean?,
300,My passcode was denied.,
301,Why is my card payment still a pending transaction?,
302,Where can I find Mastercard ATMs?,
303,Did  my transfer fail?,
304,Which ATM's can I use to make a withdrawal?,
305,"Hi, would you please activate my card?",
306,I tried transferring to an account but it didn't go through. What happened?,
307,What do I do when my card expires?,
308,"I tried transferring money to a beneficiary, however, I was unsuccessful.",
309,Hi i received an error message informing me about the transaction failure. I have done the money transfer before and it never failed. Please let me know what is the issue this time.,
310,"I am overseas in China, can I get a replacement card?",
311,Do I have to go to an actual bank to change my PIN?,
312,How many days does a regular transaction take to complete?  I see a pending payment that hasn't changed in the last several days.,
313,Someone has been using my card. There are unfamiliar transactions on there. Can you freeze the card to keep this from happening?,
314,Could you please explain why I received a message that my transfer is not possible? I've never had any problems making a transfer in the past.,
315,How is this transfer supposed to work? It's not working for me.,
316,My statement shows charges for things I never purchased. Were my account details stolen?,
317,Can I use my card to withdraw from my account?,
318,"Since my card is about to expire, I need a new one.",
319,I have tried 5 times at this point to complete a transfer that's simply standard. What appears to be the problem? Is your system messed up?,
320,Why can't I complete the transfer?,
321,I'd like to make a new PIN selection.,
322,I forgot the passcode on my app.,
323,Can someone please help assist me by explaining to me why my pass-code is not working?,
324,Can I change my card PIN?,
325,What do I have to do to cancel a transfer?,
326,I have a new card and I need to activate it.,
327,How do I report my card stolen?,
328,What is the exchange fee that is charged?,
329,My attempted transfer keeps kicking back with an error message.  Could you please help me to resolve this?,
330,I need an ATM right now!,
331,"Hi! I was wondering if you can help me. I used the city centre ATM to get some cash, but the machine declined my card. My account shows that transaction is still pending. I didn't receive the money, so please cancel that transaction.",
332,I think someone else is using my card.  There are transactions I didn't make.,
333,My card is about to expire.,
334,Where is the nearest Mastercard ATM?,
335,Should i uninstall the app before i try it again?,
336,I just initiated a transfer but I'd like to cancel it.,
337,How can I cancel a transaction to a wrong account?,
338,why wasn't a transfer to account approved,
339,Why is my beneficiary not allowed?,
340,Where can I withdrawal my money?,
341,How can I freeze a stolen card?,
342,"My card expires soon, will you send me one automatically?",
343,For some reason my contactless won't work for me.,
344,Someone might have had access to my card.,
345,"How long does it take to activate the card, as it does not look like its working?",
346,Why was my transaction declined?,
347,Is there an exchange fee?,
348,What do I do when my card is about to expire?,
349,I don't understand why my card payment is pending.  It has been pending for too long.  Why is this and when might it go through?,
350,I goofed up and used the wrong account.  Please help.,
351,What cash stations take this card?,
352,How do I open up an account for my child?,
353,I just received my card and I'd like to activate it.,
354,I need info on activating my card?,
355,My account was charged for a withdraw I tried to make that was decline.,
356,I made a transaction this morning and would like to revert it.,
357,How do I use contactless payments?,
358,What do I have to do to activate my card?,
359,Do I need to do something to get a new card once it expires?,
360,Is there a charge for exchanging foreign currency?,
361,my cash out is still pending,
362,Do I get any sort of discount on volume for a lot fo currency exchanges?,
363,"Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?",
364,How long does it take for a purchase to go from pending to authorised?,
365,Is there a way to reset my passcode?,
366,What went wrong when I tried to do my transfer?,
367,Can you freeze my card because someone used it while I was out of town. I did not make these purchases.,
368,Tell me why my transfer failed!,
369,I want to set a new PIN,
370,"The transactions showing up are strange, I think my card was used without me knowing.",
371,I made a payment with my card and it hasn't changed. How long do you think this will take?,
372,How do I get a new card when my old one expires?,
373,"I froze my account, but how do I order a replacement card?",
374,Is there any reason my cash withdrawal still shows as pending?,
375,In what ATM can I change my pin?,
376,I would like to know why a withdraw I made for some cash shows up as pending.,
377,Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere.,
378,Can you help with a transfer to an account,
379,What is preventing me from adding a specific beneficiary?,
380,I made a payment that's pending. Will it go through?,
381,going to need a new card what are the fees and time it takes,
382,"I need to order a  new card, mine is about to expire and I need to know how much it will cost and how long until I receive it.",
383,How do I go about activating my new card?,
384,How can I fix a problem where contactless isn't working?,
385,Why are my transfers not going through.  I have tried over 4 times to get it to work.  This is just a simple transfer.  Is something else causing this in the system?  Is it broken?,
386,What should I do when my card reaches its expiry date?,
387,Can I get some help to get me card activated?,
388,I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,
389,What ATMs is the card okay to use at?,
390,My transfer failed when I tried.,
391,"After I attempted a transfer, it failed.",
392,What do I do if my card is expiring soon?,
393,Tell me what ATMs take this card.,
394,How far is the closest ATM from me?,
395,Why  am I being told this  transfer will not  go thru,
396,Help Me!  I lost my card.  What should I do?,
397,"
As my kids get older are they able to get set up with their own accounts?
I sent a payment to the wrong account number - can that transaction be reversed? I am worried about accidentally giving my money away.
How can I change the PIN?  Do I have to go to a real bank?
I no longer want to transfer funds"," can we cancel that transaction?"""
398,Am I allowed to get an account for my daughter?,
399,I bought something this morning and the payment is still pending,
400,How long do card transactions take to clear?,
401,Are there directions to get a new passcode if I forgot mine?,
402,How come I'm not allowed to transfer funds right now? I just keep getting an error message.,
403,dont understand why transfer failed,
404,How is my card payment still pending?,
405,It didnt work when I tried to pay contactless at the bus today. Why?,
406,Can I use app to freeze account and dispute fraud?,
407,I need to cancel an incorrect transaction.,
408,Cancel a transaction,
409,What are the steps that I need to take to activate a new card?,
410,Does it cost anything to do currency exchanges?,
411,I made a transaction this morning but I need to revert it now.,
412,What is the procedure for activating this card?,
413,Someone might be using my card.  What should I do?,
414,why can't my beneficiary make transactions?,
415,What would II do if I wanted to activate my new card,
416,"If I wanted to change my PIN, how would I do that?",
417,I am not sure but someone else might be using my card,
418,When is a payment I made with my card going to clear>,
419,Assist me please with card activation.,
420,Which ATMs accept this placard ?,
421,"I have arranged a transfer, but no longer need to send it. How do I stop the transfer?",
422,would I need to pay extra for exchanging currencies?,
423,"I think someone saw my PIN and I am on vacation in Spain, can I change it locally at an ATM?",
424,Can you tell me my code to get into the app?,
425,How do I replace a stolen card?,
426,help me with my transfer,
427,Report stolen card,
428,What do I do if I forget my passcode?  Because I did.,
429,Is it possible to cancel a transaction?,
430,Is there an age limit to open an account,
431,My transfer appeared not to work.,
432,The app passcode has completely slipped my mind.,
433,It seems someone used my card! There are a few transactions from a small town in the middle of nowhere that I definitely have not made! Please prevent them from using it immediately!,
434,Where can I withdraw money from?,
435,I'm confused ass to why my contactless is not working.,
436,The payment on my card shows as pending.,
437,"Someone has my card number, freeze my account.",
438,My account transfer was blocked.,
439,"Hi, I'm trying to by some crypto and the app isn't allowing it. I really want to exchange this, what am I doing wrong?",
440,I tried to make a transfer and it didn't work.,
441,"Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",
442,Can I change my PIN abroad?,
443,How can I stop fraud on my account right now?,
444,"I believe my card has been stolen, what can I do about this situation? It's urgent.",
445,I was unable to transfer money to a beneficiary.,
446,There are strange transactions on my account.  What should I do if I think someone stole my details?,
447,I made a withdrawal from my account but it has not posted?,
448,How do I deactivate a stolen card?,
449,What do I do when I get close to the expiration date of my card?,
450,How long does an item I bought show as pending?,
451,"I want to reset my passcode, how can I do that?",
452,What should I do if my passcode won't work?,
453,Why hasn't my transfer gone through,
454,If my kids wanted to use your service how old would they have to be?,
455,Why would i not be able to do a transfer to a beneficiary?,
456,Where can I do a cash withdrawal?,
457,Is there places where I can't withdraw money?,
458,"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",
459,I can't remember my password.,
460,I exchange currencies a lot.  Can I get a discount?,
461,Why can't I add any beneficiary I choose?,
462,I noticed on my online statement that an ATM withdrawal I made early is still pending.  Is this accurate?,
463,What does it mean if it says that my payment is pending?,
464,How can I report that my card was stolen? I made a police report first.,
465,My card's expiration date is close.,
466,How do I freeze my card? I think someone is using it to make a bunch of online transactions.,
467,"Can I change my pin at ATMs?  If so, what ones?",
468,If I make a transaction can I cancel it?,
469,My contactless payments have not been completed successfully.,
470,Is a copy of the police report necessary for completing the report process?,
471,"I would like to exchange currencies, but is there an extra charge to do so?",
472,What would the age limit be?,
473,Why is the payment I made still pending?,
474,Is it possible to get a new card in China?,
475,Why wouldn't the contactless payment work when I tried to pay at the bus today?,
476,"How can I get a new card ASAP to replace an old, soon to expire one?",
477,Do I need to re-apply to order a new card when my old one's about to expire?,
478,Can I reset the passcode?,
479,How long does it take for a cash withdrawal to show?,
480,I got my new card but I am not sure if it need s activated and how?,
481,Which ATMs accept Mastercard?,
482,"The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why",
483,Tell me how to reset the passcode.,
484,"If my cash withdrawal is still not showing, is something wrong?",
485,I've tried using my contactless in several locations today and it's not working anywhere. It seemed fine before. How do I get it to work again?,
486,I must change my PIN as soon as possible.,
487,Instruct me how to reset the passcode.,
488,I can't remember what my password is,
489,"I have a cash withdrawal that says it's pending, why?",
490,What happens when my card expires?,
491,May I get an account for my daughter?,
492,whats the exchange charge,
493,I need to order a new card as my old one will expire soon. Can you tell me how to order a new one?,
494,How old do I have to be to open an account?,
495,"I want to start using my card, how do I activate it?",
496,How long will it take for my cash withdrawal to stop pending,
497,Can you please tell me why my transfer failed?,
498,I do not know my passcode.,
499,Why did I get a message saying that my transfer is not possible?  I have done this before no problem.  Please fix.,
500,There is a payment showing as pending and hasn't posted for a few days.  When will it post?,
501,Would I be able to get an account for my child?,
502,My transfer will not go through.,
503,My card was stolen,
504,I have a pending payment in my account that I paid a while back ago and it still hasnt gone through. Why would it show pending for so long?,
505,How do I order a new card? The current one is about to expire.,
506,I keep getting an error message when I'm trying to transfer funds! Why aren't you accepting that?,
507,My credit card payment has been in pending status for a super long time.  I don't get it.  Why is it like this?  When will it go through?,
508,Is there a way yo change my PIN?,
509,Is it possible for me to set up separate accounts for my kids?,
510,how come my transfer didn't work,
511,Please help revert my transaction from this morning.,
512,Can you help me reset my passcode? I forgot it.,
513,"Please cancel my most recent transfer, it was a mistake. This is an emergency. It needs to be canceled before it goes through.",
514,"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",
515,Can I use my card in another institutions ATM?,
516,Why isn't my contactless not working?,
517,Why is my card payment pending?,
518,Explain pending transactions.,
519,I tried to pay through my account but the payment is not going through. What's going on?,
520,How long will this card payment stay pending?,
521,I'm not able to activate my card how do I fix this problem?,
522,I think my child used my card while I wasn't home.,
523,Cancel my last transfer,
524,Help me cancel a transfer.,
525,How do I verify my new card?,
526,Would it be possible to activate my card?,
527,Will I be charged a fee for exchanging foreign currencies?,
528,"Help!  I fear that my card was stolen,",
529,Help me cancel a transaction.,
530,"I need a new card, my old card is expiring.",
531,I've been trying to make a transfer and it doesn't seem to be working. (5 times) What is wrong with your system?,
532,"Someone stole my wallet earlier today, not sure exactly when, probably on Piccadilly circus. Can you check if there were any attempts to use the card and obviously block it?",
533,"Please help me as i am continuously facing the issue in transferring money to my friends, as all my transactions are getting failed.",
534,I need to reset my passcode. How do I do it?,
535,Which ATM's am i able to change my PIN?,
536,What should I do if someone else used my card?,
537,I could not transfer to a beneficiary,
538,"My withdrawal is pending, why?",
539,How long will my payment be pending?,
540,Why hasn't payment gone through yet?,
541,I was wondering how long does it take for a payment to go thru? It seems my last payment is stuck and hasn't moved.,
542,Why didn't this transfer work?,
543,how long and how much does it cost for new card,
544,I lost my passcode.,
545,"This is frustrating, I'm at work and my transfers are not going through. I keep getting an error message, I do not have time for this.",
546,Is there a problem that makes my payments show pending?,
547,I have a payment that has not gone through yet,
548,Does it cost extra to exchange currencies?,
549,Where can I find a Mastercard ATM?,
550,What should I do if I think someone stole my details and used my information to make some transactions?,
551,"I think my pin has been compromised, what do I do?",
552,Please cancel my last transaction.,
553,Please tell me what the exchange fee is.,
554,How can I activate my new card? I didn't recieve any information with it about how to do so.,
555,"I'm in Austria right now, but I really need to change my PIN right now. Can I do this even though I'm in another country?",
556,Can you please tell me why my cash withdrawal is still pending?,
557,I am having trouble activating my card.,
558,My card needs to be activated asap,
559,I'd like to open an account for my kids can I do that?,
560,Why couldn't I do a transfer to a beneficiary?,
561,I made a purchase and it says it's pending. What does that mean?,
562,I've been trying to make a transfer and it hasn't gone through. Now I am receiving an error message.  What is the problem?,
563,My bag got stolen with all my cards. Can you please cancel my card and send a new one?,
564,"Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP.",
565,I have a pending cash withdrawal,
566,Will any ATM's decline my card?,
567,"My beneficiary is not allowed, please may I have answer as to why this is?",
568,What is the cost for currency exchanges?,
569,Will I be sent a new card before mine expires?,
570,Why wasn't I able to transfer to another account?,
571,How can I change my password?,
572,"My transfer was wrong, are you able to stop it before it goes through please?",
573,"Someone is making transactions on my account, I think they took my card information.",
574,Tell me what ATMs use this card.,
575,How do i cancel a charge?,
576,Are there cash machines where I can change my PIN?,
577,I want to revert a transaction I did this morning,
578,Is there a fee for exchanging foreign currencies?,
579,What are your policies for card transfers?,
580,What's the deal with no cryptocurrency on your app?,
581,I would like to cancel my previous transaction,
582,It won't let me activate my card.,
583,I would like to get help from someone with activating my card.,
584,Could I open an account for my children?,
585,What does it mean if my cash withdrawal is pending?,
586,Do you have an age requirement when opening an account with your service?,
587,I think someone stole my card because I can't find it.,
588,How long will my cash withdrawal take,
589,I completed a payment with my card a while ago. It's still showing up as pending. What time frame does this normally take? It doesn't appear to have worked.,
590,My transfer failed.  Help!,
591,Am I able to get this shipped to China?,
592,why isnt my account allowing transfers,
593,Tell me how to renew my new card?,
594,why didnt my account allow a transfer,
595,Will I have to pay extra to exchange money?,
596,Why is the cash transaction still showing as not completed?,
597,There is a single payment on my card which shows as pending.,
598,How do I get a new expiration date?,
599,Why will my transfer not go through?!  Keep getting an error message.,
600,Can my children get an account?,
601,How many ATMs will take this card?,
602,Is there an age limit to get an account?,
603,I tried transferring to an account but it won't let me.,
604,"When I used one of the ATMs in the city centre today, I tried to take out some money, but for whatever reason, the machine declined my card. Just checked it out in my account and that amount is still showing as pending! Is there any way that you can cancel this transaction, because I did not receive any money whatsoever from the ATM",
605,What's the exchange fee?,
606,"Hello, I made a payment with my card and it's not working. It's been a while and still says its pending. Can you tell when this will go through?",
607,"If I order a new card, how much will it be and how long will it take me to get it?",
608,I wanted to purchase some crypto. The app will not let me. What's going on here? I really want to make this exchange.,
609,Why did the transfer fail when I attempted to do it earlier?,
610,Could you please tell me how to activate my new card?,
611,What are the currency exchange fees?,
